"","hgnc_symbol","entrezgene","ensembl_gene_id","chromosome_name","start_position","end_position","band"
"7795","ZNF165",7718,"ENSG00000197279","6",28080975,28089563,"p22.1"
"7796","ZNF184",7738,"ENSG00000096654","6",27450743,27473118,"p22.1"
"7797","ZNF204P",NA,"ENSG00000204789","6",27357825,27360221,"p22.1"
"7798","ZNF311",282890,"ENSG00000223687","CHR_HSCHR6_MHC_COX_CTG1",28991375,29001915,""
"7799","ZNF311",282890,"ENSG00000197935","6",28994785,29005316,"p22.1"
"7800","ZNF311",282890,"ENSG00000225351","CHR_HSCHR6_MHC_APD_CTG1",28994816,29005348,""
"7801","ZNF311",282890,"ENSG00000235178","CHR_HSCHR6_MHC_DBB_CTG1",28994795,29005326,""
"7802","ZNF311",282890,"ENSG00000235589","CHR_HSCHR6_MHC_MANN_CTG1",28994750,29005281,""
"7803","ZNF311",282890,"ENSG00000233831","CHR_HSCHR6_MHC_SSTO_CTG1",28995715,29006139,""
"7804","ZNF311",282890,"ENSG00000169260","CHR_HSCHR6_MHC_QBL_CTG1",28994770,29005301,""
"7805","ZNF322",79692,"ENSG00000181315","6",26634383,26659752,"p22.2"
"7806","ZNF391",346157,"ENSG00000124613","6",27374615,27403904,"p22.1"
"7807","ZNF76",7629,"ENSG00000065029","6",35258909,35295985,"p21.31"
"7808","ZNRD1",30834,"ENSG00000236949","CHR_HSCHR6_MHC_DBB_CTG1",30049228,30055232,""
"7809","ZNRD1",30834,"ENSG00000233795","CHR_HSCHR6_MHC_SSTO_CTG1",30049286,30055293,""
"7810","ZNRD1",30834,"ENSG00000066379","6",30058899,30064909,"p22.1"
"7811","ZNRD1",30834,"ENSG00000206502","CHR_HSCHR6_MHC_QBL_CTG1",30048487,30054477,""
"7812","ZNRD1",30834,"ENSG00000236808","CHR_HSCHR6_MHC_MCF_CTG1",30137399,30143406,""
"7813","ZNRD1",30834,"ENSG00000235176","CHR_HSCHR6_MHC_MANN_CTG1",30054063,30060065,""
"7814","ZNRD1",30834,"ENSG00000224859","CHR_HSCHR6_MHC_COX_CTG1",30048795,30054799,""
"7815","ZNRD1",30834,"ENSG00000235443","CHR_HSCHR6_MHC_APD_CTG1",30051404,30057408,""
"7816","ZSCAN12",9753,"ENSG00000158691","6",28378955,28399734,"p22.1"
"7817","ZSCAN12P1",NA,"ENSG00000219891","6",28091154,28093664,"p22.1"
"7818","ZSCAN16",80345,"ENSG00000196812","6",28124560,28130082,"p22.1"
"7819","ZSCAN23",222696,"ENSG00000187987","6",28431930,28443502,"p22.1"
"7820","AARS2",57505,"ENSG00000124608","6",44299654,44313326,"p21.1"
"7821","ABCC10",89845,"ENSG00000124574","6",43427366,43450430,"p21.1"
"7822","AKAP7",9465,"ENSG00000118507","6",131135666,131283535,"q23.2"
"7823","AKIRIN2",55122,"ENSG00000135334","6",87675072,87702209,"q15"
"7824","AMD1",262,"ENSG00000123505","6",110874770,110895713,"q21"
"7825","ANKRD6",22881,"ENSG00000135299","6",89433170,89633834,"q15"
"7826","APOBEC2",10930,"ENSG00000124701","6",41053304,41064511,"p21.1"
"7827","ARG1",383,"ENSG00000118520","6",131573144,131584332,"q23.2"
"7828","ARHGAP18",93663,"ENSG00000146376","6",129576132,129710225,"q22.33"
"7829","ARMC2",84071,"ENSG00000118690","6",108848416,108974472,"q21"
"7830","ASCC3",10973,"ENSG00000112249","6",100508194,100881372,"q16.3"
"7831","ASF1A",25842,"ENSG00000111875","6",118894220,118909167,"q22.31"
"7832","ATG5",9474,"ENSG00000057663","6",106045423,106325791,"q21"
"7833","ATP6V0CP3",NA,"ENSG00000213435","6",42727234,42727700,"p21.1"
"7834","B3GAT2",135152,"ENSG00000112309","6",70856679,70957038,"q13"
"7835","BACH2",60468,"ENSG00000112182","6",89926529,90296908,"q15"
"7836","BAG2",9532,"ENSG00000112208","6",57172326,57189833,"p12.1"
"7837","BCKDHB",594,"ENSG00000083123","6",80106647,80346270,"q14.1"
"7838","BEND3",57673,"ENSG00000178409","6",107065182,107115269,"q21"
"7839","BEND6",221336,"ENSG00000151917","6",56955126,57027342,"p12.1"
"7840","BMP5",653,"ENSG00000112175","6",55753645,55875564,"p12.1"
"7841","BRPF3",27154,"ENSG00000096070","6",36196744,36232790,"p21.31"
"7842","BTBD9",114781,"ENSG00000183826","6",38168451,38640148,"p21.2"
"7843","BVES",11149,"ENSG00000112276","6",105096822,105137174,"q21"
"7844","BVES-AS1",154442,"ENSG00000203808","6",105136308,105169945,"q21"
"7845","BYSL",705,"ENSG00000112578","6",41921188,41933046,"p21.1"
"7846","C6orf132",647024,"ENSG00000188112","6",42101118,42142619,"p21.1"
"7847","C6orf141",135398,"ENSG00000197261","6",49550646,49561907,"p12.3"
"7848","C6orf163",206412,"ENSG00000203872","6",87344849,87365463,"q15"
"7849","C6orf203",51250,"ENSG00000130349","6",107028213,107051342,"q21"
"7850","C6orf222",389384,"ENSG00000189325","6",36315757,36336885,"p21.31"
"7851","C6orf223",221416,"ENSG00000181577","6",44000580,44005958,"p21.1"
"7852","C6orf226",441150,"ENSG00000221821","6",42890265,42890816,"p21.1"
"7853","C6orf58",352999,"ENSG00000184530","6",127519455,127591817,"q22.33"
"7854","C6orf89",221477,"ENSG00000198663","6",36871870,36928964,"p21.2"
"7855","CAPN11",11131,"ENSG00000137225","6",44158811,44184402,"p21.1"
"7856","CASP8AP2",9994,"ENSG00000118412","6",89829894,89874436,"q15"
"7857","CCDC162P",221262,"ENSG00000203799","6",109165831,109355063,"q21"
"7858","CCDC167",154467,"ENSG00000198937","6",37482920,37499922,"p21.2"
"7859","CCNC",892,"ENSG00000112237","6",99542380,99568973,"q16.2"
"7860","CCND3",896,"ENSG00000112576","6",41934933,42050357,"p21.1"
"7861","CD109",135228,"ENSG00000156535","6",73695785,73828316,"q13"
"7862","CD164",8763,"ENSG00000135535","6",109366514,109382457,"q21"
"7863","CD2AP",23607,"ENSG00000198087","6",47477789,47627263,"p12.3"
"7864","CDC40",51362,"ENSG00000168438","6",110180141,110254275,"q21"
"7865","CDC5L",988,"ENSG00000096401","6",44387525,44450426,"p21.1"
"7866","CDK19",23097,"ENSG00000155111","6",110609978,110815958,"q21"
"7867","CDKN1A",1026,"ENSG00000124762","6",36676460,36687339,"p21.2"
"7868","CENPQ",55166,"ENSG00000031691","6",49463378,49493107,"p12.3"
"7869","CENPW",387103,"ENSG00000203760","6",126340174,126348875,"q22.32"
"7870","CEP57L1",285753,"ENSG00000183137","6",109095110,109163932,"q21"
"7871","CEP85L",387119,"ENSG00000111860","6",118460772,118710075,"q22.31"
"7872","CGA",1081,"ENSG00000135346","6",87085498,87095406,"q14.3"
"7873","CLIC5",53405,"ENSG00000112782","6",45898451,46080395,"p21.1"
"7874","CLPS",1208,"ENSG00000137392","6",35794982,35797344,"p21.31"
"7875","CLPSL1",340204,"ENSG00000204140","6",35781017,35793675,"p21.31"
"7876","CLPSL2",389383,"ENSG00000196748","6",35776594,35779552,"p21.31"
"7877","CLVS2",134829,"ENSG00000146352","6",122995971,123072927,"q22.31"
"7878","CNPY3",10695,"ENSG00000137161","6",42929192,42939287,"p21.1"
"7879","CNR1",1268,"ENSG00000118432","6",88139864,88166359,"q15"
"7880","COL10A1",1300,"ENSG00000123500","6",116118923,116158747,"q22.1"
"7881","COL12A1",1303,"ENSG00000111799","6",75084326,75206051,"q14.1"
"7882","COL19A1",1310,"ENSG00000082293","6",69866571,70209976,"q13"
"7883","COL21A1",81578,"ENSG00000124749","6",56056590,56394094,"p12.1"
"7884","COL9A1",1297,"ENSG00000112280","6",70215061,70303083,"q13"
"7885","COQ3",51805,"ENSG00000132423","6",99369400,99394204,"q16.2"
"7886","COX7A2",1347,"ENSG00000112695","6",75237675,75250323,"q14.1"
"7887","CPNE5",57699,"ENSG00000124772","6",36740775,36840002,"p21.2"
"7888","CRIP3",401262,"ENSG00000146215","6",43299710,43308797,"p21.1"
"7889","CRISP1",167,"ENSG00000124812","6",49834257,49877096,"p12.3"
"7890","CRISP2",7180,"ENSG00000124490","6",49692358,49713590,"p12.3"
"7891","CRISP3",10321,"ENSG00000096006","6",49727384,49744437,"p12.3"
"7892","CTAGE9",643854,"ENSG00000236761","6",131708684,131711017,"q23.2"
"7893","CTGF",1490,"ENSG00000118523","6",131948176,131951373,"q23.2"
"7894","CUL7",9820,"ENSG00000044090","6",43037617,43053945,"p21.1"
"7895","CUL9",23113,"ENSG00000112659","6",43182175,43224587,"p21.1"
"7896","CYB5R4",51167,"ENSG00000065615","6",83859643,83967424,"q14.2"
"7897","CYP39A1",51302,"ENSG00000146233","6",46549580,46652830,"p12.3"
"7898","DAAM2",23500,"ENSG00000146122","6",39792298,39904877,"p21.2"
"7899","DCBLD1",285761,"ENSG00000164465","6",117453817,117569858,"q22.1"
"7900","DDO",8528,"ENSG00000203797","6",110391771,110415562,"q21"
"7901","DDX43",55510,"ENSG00000080007","6",73394748,73417569,"q13"
"7902","DEFB110",245913,"ENSG00000203970","6",50009138,50021981,"p12.3"
"7903","DEFB112",245915,"ENSG00000180872","6",50043575,50048651,"p12.3"
"7904","DEFB113",245927,"ENSG00000214642","6",49968677,49969625,"p12.3"
"7905","DEFB114",245928,"ENSG00000177684","6",49960249,49964105,"p12.3"
"7906","DEFB133",403339,"ENSG00000214643","6",49946021,49950265,"p12.3"
"7907","DLK2",65989,"ENSG00000171462","6",43450352,43456632,"p21.1"
"7908","DNAH8",1769,"ENSG00000124721","6",38715341,39030529,"p21.2"
"7909","DOPEY1",23033,"ENSG00000083097","6",83067666,83171350,"q14.1"
"7910","DPPA5",340168,"ENSG00000203909","6",73353062,73354295,"q13"
"7911","DSE",29940,"ENSG00000111817","6",116254173,116444860,"q22.1"
"7912","DST",667,"ENSG00000151914","6",56457987,56954628,"p12.1"
"7913","ECHDC1",55862,"ENSG00000093144","6",127288710,127343609,"q22.33"
"7914","EEF1A1",1915,"ENSG00000156508","6",73515750,73523797,"q13"
"7915","EFHC1",114327,"ENSG00000096093","6",52362123,52529886,"p12.2"
"7916","ELOVL4",6785,"ENSG00000118402","6",79914812,79947580,"q14.1"
"7917","ELOVL5",60481,"ENSG00000012660","6",53267398,53349179,"p12.1"
"7918","ENPP1",5167,"ENSG00000197594","6",131808016,131895155,"q23.2"
"7919","ENPP3",5169,"ENSG00000154269","6",131628442,131747418,"q23.2"
"7920","ENPP4",22875,"ENSG00000001561","6",46129993,46146699,"p21.1"
"7921","ENPP5",59084,"ENSG00000112796","6",46159187,46170971,"p21.1"
"7922","EPB41L2",2037,"ENSG00000079819","6",130839347,131063322,"q23.2"
"7923","EPHA7",2045,"ENSG00000135333","6",93240020,93419547,"q16.1"
"7924","ETV7",51513,"ENSG00000010030","6",36354091,36387800,"p21.31"
"7925","EYS",346007,"ENSG00000188107","6",63719980,65707225,"q12"
"7926","FABP7",2173,"ENSG00000164434","6",122779475,122784074,"q22.31"
"7927","FAM135A",57579,"ENSG00000082269","6",70412941,70561174,"q13"
"7928","FAM162B",221303,"ENSG00000183807","6",116752197,116765723,"q22.1"
"7929","FAM184A",79632,"ENSG00000111879","6",118959763,119149387,"q22.31"
"7930","FAM26D",221301,"ENSG00000164451","6",116529013,116558868,"q22.1"
"7931","FAM26E",254228,"ENSG00000178033","6",116511646,116524792,"q22.1"
"7932","FAM26F",441168,"ENSG00000188820","6",116461370,116463779,"q22.1"
"7933","FAM46A",55603,"ENSG00000112773","6",81491439,81752774,"q14.1"
"7934","FAM83B",222584,"ENSG00000168143","6",54846771,54942022,"p12.1"
"7935","FAXC",84553,"ENSG00000146267","6",99271169,99350062,"q16.2"
"7936","FBXL4",26235,"ENSG00000112234","6",98868538,98948006,"q16.2"
"7937","FBXO9",26268,"ENSG00000112146","6",53051991,53100873,"p12.1"
"7938","FGD2",221472,"ENSG00000146192","6",37005646,37029070,"p21.2"
"7939","FHL5",9457,"ENSG00000112214","6",96562548,96616636,"q16.1"
"7940","FIG4",9896,"ENSG00000112367","6",109691312,109825428,"q21"
"7941","FILIP1",27145,"ENSG00000118407","6",75291859,75493738,"q14.1"
"7942","FOXO3",2309,"ENSG00000118689","6",108559835,108684774,"q21"
"7943","FOXP4",116113,"ENSG00000137166","6",41546426,41602384,"p21.1"
"7944","FRK",2444,"ENSG00000111816","6",115931149,116060758,"q22.1"
"7945","FRS3",10817,"ENSG00000137218","6",41770176,41786542,"p21.1"
"7946","FUT9",10690,"ENSG00000172461","6",96015984,96215612,"q16.1"
"7947","FYN",2534,"ENSG00000010810","6",111660332,111873452,"q21"
"7948","GABRR1",2569,"ENSG00000146276","6",89177501,89231278,"q15"
"7949","GABRR2",2570,"ENSG00000111886","6",89257208,89315299,"q15"
"7950","GCLC",2729,"ENSG00000001084","6",53497341,53616970,"p12.1"
"7951","GCM1",8521,"ENSG00000137270","6",53126964,53148829,"p12.1"
"7952","GFRAL",389400,"ENSG00000187871","6",55327469,55402493,"p12.1"
"7953","GJA1",2697,"ENSG00000152661","6",121435692,121449727,"q22.31"
"7954","GJA10",84694,"ENSG00000135355","6",89894469,89921760,"q15"
"7955","GJB7",375519,"ENSG00000164411","6",87282978,87329278,"q15"
"7956","GLO1",2739,"ENSG00000124767","6",38675925,38703141,"p21.2"
"7957","GLP1R",2740,"ENSG00000112164","6",39048798,39087743,"p21.2"
"7958","GLYATL3",389396,"ENSG00000203972","6",49499958,49527047,"p12.3"
"7959","GNMT",27232,"ENSG00000124713","6",42960758,42963880,"p21.1"
"7960","GOPC",57120,"ENSG00000047932","6",117560269,117602542,"q22.1"
"7961","GPR6",2830,"ENSG00000146360","6",109978256,109980718,"q21"
"7962","GPR63",81491,"ENSG00000112218","6",96794126,96837463,"q16.1"
"7963","GPRC6A",222545,"ENSG00000173612","6",116792085,116829037,"q22.1"
"7964","GRIK2",2898,"ENSG00000164418","6",101398788,102070083,"q16.3"
"7965","GSTA1",2938,"ENSG00000243955","6",52791664,52803910,"p12.2"
"7966","GSTA2",2939,"ENSG00000244067","6",52750089,52763569,"p12.2"
"7967","GSTA3",2940,"ENSG00000174156","6",52896639,52909685,"p12.2"
"7968","GSTA4",2941,"ENSG00000170899","6",52977948,52995378,"p12.2"
"7969","GSTA5",221357,"ENSG00000182793","6",52831655,52846095,"p12.2"
"7970","GSTA7P",NA,"ENSG00000237674","6",52739590,52744656,"p12.2"
"7971","GSTM2P1",NA,"ENSG00000218803","6",111046868,111047521,"q21"
"7972","GTF3C6",112495,"ENSG00000155115","6",110958560,110967890,"q21"
"7973","GTPBP2",54676,"ENSG00000172432","6",43605316,43629162,"p21.1"
"7974","GUCA1A",2978,"ENSG00000048545","6",42155406,42180056,"p21.1"
"7975","GUCA1B",2979,"ENSG00000112599","6",42184401,42194916,"p21.1"
"7976","GUSBP4",NA,"ENSG00000239650","6",57919784,57930291,"p11.2"
"7977","HACE1",57531,"ENSG00000085382","6",104728093,104859919,"q16.3"
"7978","HCRTR2",3062,"ENSG00000137252","6",55106460,55282620,"p12.1"
"7979","HDAC2",3066,"ENSG00000196591","6",113933028,114011308,"q21"
"7980","HDDC2",51020,"ENSG00000111906","6",125219962,125302078,"q22.31"
"7981","HEY2",23493,"ENSG00000135547","6",125747664,125761269,"q22.31"
"7982","HINT3",135114,"ENSG00000111911","6",125956781,125980244,"q22.32"
"7983","HMGCLL1",54511,"ENSG00000146151","6",55434369,55579214,"p12.1"
"7984","HMGN3",9324,"ENSG00000118418","6",79201245,79234738,"q14.1"
"7985","HS3ST5",222537,"ENSG00000249853","6",114055586,114343045,"q22.1"
"7986","HSF2",3298,"ENSG00000025156","6",122399546,122433119,"q22.31"
"7987","HSP90AB1",3326,"ENSG00000096384","6",44246166,44253888,"p21.1"
"7988","HTR1B",3351,"ENSG00000135312","6",77461753,77463773,"q14.1"
"7989","HTR1E",3354,"ENSG00000168830","6",86937306,87016683,"q14.3"
"7990","IBTK",25998,"ENSG00000005700","6",82169983,82247754,"q14.1"
"7991","IBTK",25998,"ENSG00000283068","CHR_HG2072_PATCH",82169983,82247754,""
"7992","ICK",22858,"ENSG00000112144","6",53001279,53061802,"p12.1"
"7993","IL17A",3605,"ENSG00000112115","6",52186387,52190638,"p12.2"
"7994","IL17F",112744,"ENSG00000112116","6",52236681,52244537,"p12.2"
"7995","IMPG1",3617,"ENSG00000112706","6",75921115,76072678,"q14.1"
"7996","IRAK1BP1",134728,"ENSG00000146243","6",78867472,78946440,"q14.1"
"7997","KCNK16",83795,"ENSG00000095981","6",39314698,39322968,"p21.2"
"7998","KCNK17",89822,"ENSG00000124780","6",39299001,39314553,"p21.2"
"7999","KCNK5",8645,"ENSG00000164626","6",39188973,39229450,"p21.2"
"8000","KCNQ5",56479,"ENSG00000185760","6",72621792,73198851,"q13"
"8001","KCTD20",222658,"ENSG00000112078","6",36442767,36491143,"p21.31"
"8002","KHDC1",80759,"ENSG00000135314","6",73241314,73310365,"q13"
"8003","KHDC1L",100129128,"ENSG00000256980","6",73223544,73225770,"q13"
"8004","KHDRBS2",202559,"ENSG00000112232","6",61679960,62286227,"q11.1"
"8005","KIAA0408",9729,"ENSG00000189367","6",127440343,127459391,"q22.33"
"8006","KIAA1586",57691,"ENSG00000168116","6",57046532,57055239,"p12.1"
"8007","KIF6",221458,"ENSG00000164627","6",39329990,39725405,"p21.2"
"8008","KLC4",89953,"ENSG00000137171","6",43040777,43075099,"p21.1"
"8009","KLHDC3",116138,"ENSG00000124702","6",43014103,43021298,"p21.1"
"8010","KLHL31",401265,"ENSG00000124743","6",53647901,53665708,"p12.1"
"8011","KLHL32",114792,"ENSG00000186231","6",96924620,97140754,"q16.1"
"8012","KPNA5",3841,"ENSG00000196911","6",116681187,116741866,"q22.1"
"8013","L3MBTL3",84456,"ENSG00000198945","6",130013699,130141451,"q23.1"
"8014","LAMA2",3908,"ENSG00000196569","6",128883141,129516569,"q22.33"
"8015","LAMA4",3910,"ENSG00000112769","6",112108760,112254939,"q21"
"8016","LCA5",167691,"ENSG00000135338","6",79484991,79537458,"q14.1"
"8017","LGSN",51557,"ENSG00000146166","6",63275951,63319977,"q12"
"8018","LHFPL5",222662,"ENSG00000197753","6",35805293,35833874,"p21.31"
"8019","LIN28B",389421,"ENSG00000187772","6",104936616,105083332,"q16.3"
"8020","LINC00222",387111,"ENSG00000203801","6",108751654,108769942,"q21"
"8021","LINC00472",NA,"ENSG00000233237","6",71344344,71420769,"q13"
"8022","LMBRD1",55788,"ENSG00000168216","6",69675802,69797111,"q13"
"8023","LRFN2",57497,"ENSG00000156564","6",40391586,40587465,"p21.1"
"8024","LRRC1",55227,"ENSG00000137269","6",53794497,53924121,"p12.1"
"8025","LRRC73",221424,"ENSG00000204052","6",43506969,43510686,"p21.1"
"8026","LYRM2",57226,"ENSG00000083099","6",89568144,89638753,"q15"
"8027","MAD2L1BP",9587,"ENSG00000124688","6",43629540,43640952,"p21.1"
"8028","MAN1A1",4121,"ENSG00000111885","6",119177209,119349761,"q22.31"
"8029","MANEA",79694,"ENSG00000172469","6",95577543,95609457,"q16.1"
"8030","MAP3K7",6885,"ENSG00000135341","6",90513573,90587045,"q15"
"8031","MAPK13",5603,"ENSG00000156711","6",36127809,36144524,"p21.31"
"8032","MAPK14",1432,"ENSG00000112062","6",36027677,36111236,"p21.31"
"8033","MARCKS",4082,"ENSG00000277443","6",113857362,113863471,"q21"
"8034","MB21D1",115004,"ENSG00000164430","6",73413515,73452276,"q13"
"8035","MCHR2",84539,"ENSG00000152034","6",99919910,99994247,"q16.2"
"8036","MCM3",4172,"ENSG00000112118","6",52264009,52284881,"p12.2"
"8037","MCM9",254394,"ENSG00000111877","6",118813442,118935162,"q22.31"
"8038","MDFI",4188,"ENSG00000112559","6",41636882,41654246,"p21.1"
"8039","MDGA1",266727,"ENSG00000112139","6",37630679,37699306,"p21.2"
"8040","MDN1",23195,"ENSG00000112159","6",89642499,89819723,"q15"
"8041","ME1",4199,"ENSG00000065833","6",83210389,83431071,"q14.2"
"8042","MEA1",4201,"ENSG00000124733","6",43012094,43013968,"p21.1"
"8043","MED20",9477,"ENSG00000124641","6",41905354,41921139,"p21.1"
"8044","MED23",9439,"ENSG00000112282","6",131573966,131628229,"q23.2"
"8045","MEP1A",4224,"ENSG00000112818","6",46793390,46839782,"p12.3"
"8046","MICAL1",64780,"ENSG00000135596","6",109444062,109465968,"q21"
"8047","MIR133B",442890,"ENSG00000199080","6",52148923,52149041,"p12.2"
"8048","MIR206",406989,"ENSG00000207604","6",52144349,52144434,"p12.2"
"8049","MIR2113",100302164,"ENSG00000238367","6",98024531,98024621,"q16.1"
"8050","MIR30A",407029,"ENSG00000207827","6",71403551,71403621,"q13"
"8051","MIR30C2",407032,"ENSG00000199094","6",71376960,71377031,"q13"
"8052","MIR3925",100500885,"ENSG00000263894","6",36622436,36622512,"p21.2"
"8053","MIR4282",100423005,"ENSG00000266180","6",72967687,72967753,"q13"
"8054","MIR4462",100616413,"ENSG00000263926","6",37555365,37555422,"p21.2"
"8055","MIR4464",100616109,"ENSG00000266760","6",90312742,90312833,"q15"
"8056","MIR4641",100616178,"ENSG00000266494","6",41598723,41598788,"p21.1"
"8057","MIR4642",100616352,"ENSG00000266619","6",44435641,44435722,"p21.1"
"8058","MIR4643",100616174,"ENSG00000263734","6",91521660,91521737,"q15"
"8059","MIR4647",100616124,"ENSG00000284427","6",44254206,44254285,"p21.1"
"8060","MIR548B",693128,"ENSG00000207982","6",119069047,119069143,"q22.31"
"8061","MIR586",693171,"ENSG00000207769","6",45197674,45197770,"p21.1"
"8062","MLIP",90523,"ENSG00000146147","6",53929982,54266280,"p12.1"
"8063","MMS22L",253714,"ENSG00000146263","6",97142161,97283217,"q16.1"
"8064","MOCS1",4337,"ENSG00000124615","6",39899578,39934551,"p21.2"
"8065","MOXD1",26002,"ENSG00000079931","6",132296055,132401545,"q23.2"
"8066","MRAP2",112609,"ENSG00000135324","6",84033756,84090881,"q14.2"
"8067","MRPL14",64928,"ENSG00000180992","6",44113454,44127457,"p21.1"
"8068","MRPL2",51069,"ENSG00000112651","6",43054029,43059806,"p21.1"
"8069","MRPS10",55173,"ENSG00000048544","6",42206801,42217865,"p21.1"
"8070","MRPS18A",55168,"ENSG00000096080","6",43671303,43687791,"p21.1"
"8071","MTCH1",23787,"ENSG00000137409","6",36968141,36986298,"p21.2"
"8072","MTO1",25821,"ENSG00000135297","6",73461578,73509236,"q13"
"8073","MUT",4594,"ENSG00000146085","6",49430360,49463191,"p12.3"
"8074","MYO6",4646,"ENSG00000196586","6",75749192,75919537,"q14.1"
"8075","NCOA7",135112,"ENSG00000111912","6",125781161,125932030,"q22.31"
"8076","NCR2",9436,"ENSG00000096264","6",41335655,41350887,"p21.1"
"8077","NDUFAF4",29078,"ENSG00000123545","6",96889313,96897881,"q16.1"
"8078","NFKBIE",4794,"ENSG00000146232","6",44258166,44265788,"p21.1"
"8079","NFYA",4800,"ENSG00000001167","6",41072945,41099976,"p21.1"
"8080","NKAIN2",154215,"ENSG00000188580","6",123804141,124825657,"q22.31"
"8081","NR2E1",7101,"ENSG00000112333","6",108166058,108188809,"q21"
"8082","NT5DC1",221294,"ENSG00000178425","6",116100849,116249497,"q22.1"
"8083","NT5E",4907,"ENSG00000135318","6",85449584,85495791,"q14.3"
"8084","NUS1",116150,"ENSG00000153989","6",117675502,117710640,"q22.1"
"8085","OGFRL1",79627,"ENSG00000119900","6",71288803,71308950,"q13"
"8086","OOEP",441161,"ENSG00000203907","6",73368555,73395133,"q13"
"8087","OPN5",221391,"ENSG00000124818","6",47781982,47832780,"p12.3"
"8088","OR2A4",79541,"ENSG00000180658","6",131699644,131701401,"q23.2"
"8089","ORC3",23595,"ENSG00000135336","6",87590067,87667453,"q15"
"8090","OSTM1",28962,"ENSG00000081087","6",108041409,108165854,"q21"
"8091","PAQR8",85315,"ENSG00000170915","6",52361421,52407777,"p12.2"
"8092","PDSS2",57107,"ENSG00000164494","6",107152557,107459564,"q21"
"8093","PEX6",5190,"ENSG00000124587","6",42963870,42979220,"p21.1"
"8094","PGC",5225,"ENSG00000096088","6",41736711,41754109,"p21.1"
"8095","PGK2",5232,"ENSG00000170950","6",49785651,49787307,"p12.3"
"8096","PGM3",5238,"ENSG00000013375","6",83161150,83193936,"q14.1"
"8097","PHF3",23469,"ENSG00000118482","6",63635820,63779336,"q12"
"8098","PHIP",55023,"ENSG00000146247","6",78935867,79078236,"q14.1"
"8099","PI16",221476,"ENSG00000164530","6",36948263,36964837,"p21.2"
"8100","PIM1",5292,"ENSG00000137193","6",37170203,37175426,"p21.2"
"8101","PKHD1",5314,"ENSG00000170927","6",51615300,52087625,"p12.2"
"8102","PKIB",5570,"ENSG00000135549","6",122471917,122726373,"q22.31"
"8103","PLA2G7",7941,"ENSG00000146070","6",46704201,46735693,"p12.3"
"8104","PLN",5350,"ENSG00000198523","6",118548298,118560730,"q22.31"
"8105","PM20D2",135293,"ENSG00000146281","6",89146050,89165565,"q15"
"8106","PNISR",25957,"ENSG00000132424","6",99398051,99425331,"q16.2"
"8107","PNPLA1",285848,"ENSG00000180316","6",36243203,36312229,"p21.31"
"8108","PNRC1",10957,"ENSG00000146278","6",89080751,89085160,"q15"
"8109","POLH",5429,"ENSG00000170734","6",43576150,43615660,"p21.1"
"8110","POLR1C",9533,"ENSG00000171453","6",43509702,43529585,"p21.1"
"8111","POPDC3",64208,"ENSG00000132429","6",105158280,105179995,"q21"
"8112","POU3F2",5454,"ENSG00000184486","6",98834592,98839470,"q16.1"
"8113","PPIL1",51645,"ENSG00000137168","6",36854827,36875024,"p21.2"
"8114","PPIL6",285755,"ENSG00000185250","6",109390215,109441171,"q21"
"8115","PPP2R5D",5528,"ENSG00000112640","6",42984499,43012342,"p21.1"
"8116","PRDM1",639,"ENSG00000057657","6",106086320,106109939,"q21"
"8117","PRDM13",59336,"ENSG00000112238","6",99606730,99615578,"q16.2"
"8118","PREP",5550,"ENSG00000085377","6",105277565,105403084,"q21"
"8119","PRICKLE4",29964,"ENSG00000278224","6",41780762,41787372,"p21.1"
"8120","PRIM2",5558,"ENSG00000146143","6",57314805,57646849,"p11.2"
"8121","PRPH2",5961,"ENSG00000112619","6",42696600,42722574,"p21.1"
"8122","PRSS35",167681,"ENSG00000146250","6",83512538,83525704,"q14.2"
"8123","PTCHD4",442213,"ENSG00000244694","6",47878028,48068689,"p12.3"
"8124","PTCRA",171558,"ENSG00000171611","6",42915989,42925835,"p21.1"
"8125","PTK7",5754,"ENSG00000112655","6",43076268,43161719,"p21.1"
"8126","PTP4A1",7803,"ENSG00000112245","6",63521748,63583587,"q12"
"8127","PTPRK",5796,"ENSG00000152894","6",127968779,128520674,"q22.33"
"8128","PTPRK",5796,"ENSG00000273993","CHR_HSCHR6_1_CTG8",127968779,128524810,""
"8129","PXT1",222659,"ENSG00000179165","6",36390551,36442889,"p21.31"
"8130","QRSL1",55278,"ENSG00000130348","6",106629578,106668417,"q21"
"8131","RAB23",51715,"ENSG00000112210","6",57186992,57222314,"p11.2"
"8132","RARS2",57038,"ENSG00000146282","6",87514378,87590003,"q15"
"8133","RCAN2",10231,"ENSG00000172348","6",46220736,46491972,"p12.3"
"8134","REV3L",5980,"ENSG00000009413","6",111299028,111483715,"q21"
"8135","RFPL4B",442247,"ENSG00000251258","6",112347330,112351296,"q21"
"8136","RFX6",222546,"ENSG00000185002","6",116877212,116932163,"q22.1"
"8137","RHAG",6005,"ENSG00000112077","6",49605158,49636839,"p12.3"
"8138","RIMS1",22999,"ENSG00000079841","6",71886703,72403143,"q13"
"8139","RIPPLY2",134701,"ENSG00000203877","6",83853266,83857515,"q14.2"
"8140","RNF146",81847,"ENSG00000118518","6",127266610,127288567,"q22.33"
"8141","RNF217",154214,"ENSG00000146373","6",124962545,125092633,"q22.31"
